english,tamil,syllables
aaNimuththu,ஆணிமுத்து,4
aaNivaer,ஆணிவேர்,4
aaNu,ஆணு,2
aaNai,ஆணை,2
aaNaiyar,ஆணையர்,4
aaNaiyidu,ஆணையிடு,4
aaththam,ஆத்தம்,3
aaththan,ஆத்தன்,3
aaththaadi,ஆத்தாடி,3
aaththaaL,ஆத்தாள்,3
aaththi,ஆத்தி,2
aaththigan,ஆத்திகன்,4
aaththiram,ஆத்திரம்,4
aathmasuththi,ஆத்மசுத்தி,4
aathmangyaanam,ஆத்மஞானம்,5
aathmathirupthi,ஆத்மதிருப்தி,5
aathmaa,ஆத்மா,2
aathmaarththam,ஆத்மார்த்தம்,4
aadhadhaayi,ஆததாயி,4
aadhapaththiram,ஆதபத்திரம்,6
aadhabam,ஆதபம்,4
aadhaban,ஆதபன்,4
aadham,ஆதம்,3
aadharam,ஆதரம்,4
aadharavu,ஆதரவு,4
aadhari,ஆதரி,3
aadharisanam,ஆதரிசனம்,6
aadhal,ஆதல்,3
aadhalaal,ஆதலால்,4
aadhavam,ஆதவம்,4
aadhavan,ஆதவன்,4
aadhan,ஆதன்,3
aadhanam,ஆதனம்,4
aadhanam,ஆதனம்,4
aadhaam,ஆதாம்,3
aadhaayam,ஆதாயம்,4
aadhaaram,ஆதாரம்,4
aadhaaLi,ஆதாளி,3
aadhi,ஆதி,2
aadhikkiyam,ஆதிக்கியம்,5
aadhikavi,ஆதிகவி,4
aadhikaavyam,ஆதிகாவ்யம்,5
aadhisaedan,ஆதிசேடன்,5
aadhisaivan,ஆதிசைவன்,5
aadhiththar,ஆதித்தர்,4
aadhiththavaaram,ஆதித்தவாரம்,6
aadhiththan,ஆதித்தன்,4
aadhińool,ஆதிநூல்,4
aadhibagavan,ஆதிபகவன்,6
aadhipaththiyam,ஆதிபத்தியம்,6
aadhipadhi,ஆதிபதி,4
aadhiban,ஆதிபன்,4
aadhimoolam,ஆதிமூலம்,5
aadhiyańtham,ஆதியந்தம்,5
aadhiyaazh,ஆதியாழ்,4
aadhiyoadańdham,ஆதியோடந்தம்,6
aadhirai,ஆதிரை,3
aadhivaaram,ஆதிவாரம்,5
aadheeNdukutRi,ஆதீண்டுகுற்றி,5
adheenkarththaa,அதீன்கர்த்தா,4
aadheenam,ஆதீனம்,4
aadhu,ஆது,2
aadhuram,ஆதுரம்,4
aadhularsaalai,ஆதுலர்சாலை,5
aadhulan,ஆதுலன்,4
aadhoNdai,ஆதொண்டை,3
aathoaraNan,ஆதோரணன்,5
aańthiram,ஆந்திரம்,4
aańthirar,ஆந்திரர்,4
aańdhai,ஆந்தை,2
aańirai,ஆநிரை,3
aańilai,ஆநிலை,3
aańindRu,ஆநின்ன்று,3
aapkaari,ஆப்காரி,3
aapdhan,ஆப்தன்,3
aapdhigam,ஆப்திகம்,4
aappam,ஆப்பம்,3
aappi,ஆப்பி,2
aappee,ஆப்பீ,2
aappu,ஆப்பு,2
aappai,ஆப்பை,2
aaprikkaa,ஆப்ரிக்கா,3
aabaththu,ஆபத்து,3
aabaththusambaththu,ஆபத்துசம்பத்து,6
aapadham,ஆபதம்,4
aapayan,ஆபயன்,4
aaparaNam,ஆபரணம்,5
aabaasam,ஆபாசம்,4
aabisaaram,ஆபிசாரம்,5
aapirikkaa,ஆபிரிக்கா,4
aabeesu,ஆபீசு,3
aabeeś,ஆபீஸ்,3
aam,ஆம்,2
aambal,ஆம்பல்,3
aambi,ஆம்பி,2
aamasiraaththam,ஆமசிராத்தம்,6
aamasiraarththam,ஆமசிரார்த்தம்,6
aamaNakku,ஆமணக்கு,4
aamańthirigai,ஆமந்திரிகை,5
aamayam,ஆமயம்,4
aamalagam,ஆமலகம்,5
aamalagi,ஆமலகி,4
aamaLavum,ஆமளவும்,5
aamaa,ஆமா,2
aamaaththiyan,ஆமாத்தியன்,5
aamaam,ஆமாம்,3
aamaaRu,ஆமாறு,3
aamaan,ஆமான்,3
aamisam,ஆமிசம்,4
aamidam,ஆமிடம்,4
aamiram,ஆமிரம்,4
aamilam,ஆமிலம்,4
aamiksham,ஆமிக்ஷம்,4
aamen,ஆமென்,3
aamai,ஆமை,2
aamaippalagai,ஆமைப்பலகை,5
aamaiyoadu,ஆமையோடு,4
aamoadhi,ஆமோதி,3
aay,ஆய்,2
aaykkudi,ஆய்க்குடி,3
aaykkuzhal,ஆய்க்குழல்,4
aaychchi,ஆய்ச்சி,2
aaydhakkuRukkam,ஆய்தக்குறுக்கம்,6
aaydhappuLLi,ஆய்தப்புள்ளி,4
aaydham,ஆய்தம்,3
aayppaadi,ஆய்ப்பாடி,3
aaymagaL,ஆய்மகள்,4
aaymagan,ஆய்மகன்,4
aaymadhi,ஆய்மதி,3
aaymayil,ஆய்மயில்,4
aaymalar,ஆய்மலர்,4
aayvaaLar,ஆய்வாளர்,4
aayvukkoodam,ஆய்வுக்கூடம்,5
aayvu,ஆய்வு,2
aayvurai,ஆய்வுரை,3
aayvaedu,ஆய்வேடு,3
aayakkattu,ஆயக்கட்டு,4
aayakkaaran,ஆயக்காரன்,5
aayakkaal,ஆயக்கால்,4
aayakalam,ஆயகலம்,5
aayaththam,ஆயத்தம்,4
aaththaar,ஆத்தார்,3
aayam,ஆயம்,3
aayar,ஆயர்,3
aayarkulam,ஆயர்குலம்,5
aayarpaadi,ஆயர்பாடி,4
aayavan,ஆயவன்,4
aayan,ஆயன்,3
aayaa,ஆயா,2
aayaasam,ஆயாசம்,4
aayaaL,ஆயாள்,3
aayi,ஆயி,2
aayidai,ஆயிடை,3
aayiram,ஆயிரம்,4
aayiliyam,ஆயிலியம்,5
aayizhai,ஆயிழை,3
aayin,ஆயின்,3
aayinum,ஆயினும்,4
aayu,ஆயு,2
aayusu,ஆயுசு,3
aayudhasaalai,ஆயுதசாலை,5
aayudhapaaNi,ஆயுதபாணி,5
aayudham,ஆயுதம்,4
aayurvaedham,ஆயுர்வேதம்,5
aayuL,ஆயுள்,3
aar,ஆர்,2
aarkali,ஆர்கலி,3
aarchchidham,ஆர்ச்சிதம்,4
aarppari,ஆர்ப்பரி,3
aarppaattam,ஆர்ப்பாட்டம்,4
aarppu,ஆர்ப்பு,2
aarmoaniyam,ஆர்மோனியம்,5
aarvam,ஆர்வம்,3
aarvalan,ஆர்வலன்,4
aarvaliththal,ஆர்வலித்தல்,5
aarjidham,ஆர்ஜிதம்,4
aara,ஆர,2
aarakkaal,ஆரக்கால்,4
aaranju,ஆரஞ்சு,3
aarangyar,ஆரஞர்,4
aaraNyagam,ஆரண்யகம்,5
aaraNam,ஆரணம்,4
aaraNiyam,ஆரணியம்,5
aaraththi,ஆரத்தி,3
aaradhi,ஆரதி,3
aarabi,ஆரபி,3
aaram,ஆரம்,3
aarambam,ஆரம்பம்,4
aarambi,ஆரம்பி,3
aararuL,ஆரருள்,4
aaral,ஆரல்,3
aaravaaram,ஆரவாரம்,5
aaravaari,ஆரவாரி,4
aaraa,ஆரா,2
aaraadhanam,ஆராதனம்,5
aaraadhanai,ஆராதனை,4
aaraadhi,ஆராதி,3
aaraamam,ஆராமம்,4
aaraamai,ஆராமை,3
aaraay,ஆராய்,3
aaraaychchimaNi,ஆராய்ச்சிமணி,5
aaraavamudham,ஆராவமுதம்,6
aaraavamudhu,ஆராவமுது,5
aaridam,ஆரிடம்,4
aaridar,ஆரிடர்,4
aariyakkooththu,ஆரியக்கூத்து,5
aariyam,ஆரியம்,4
aariyan,ஆரியன்,4
aariyavarththam,ஆரியவர்த்தம்,6
aarugadham,ஆருகதம்,5
aarugadhan,ஆருகதன்,5
aaruyir,ஆருயிர்,4
aaruyirmaruńdhu,ஆருயிர்மருந்து,6
aaroodam,ஆரூடம்,4
aaroodan,ஆரூடன்,4
aarai,ஆரை,2
aaroakkiyam,ஆரோக்கியம்,5
aaroakyam,ஆரோக்யம்,4
aaroagaNam,ஆரோகணம்,5
aaroabi,ஆரோபி,3
aal,ஆல்,2
aalbakoaraa,ஆல்பகோரா,4
aalakaalam,ஆலகாலம்,5
aalangatti,ஆலங்கட்டி,4
aalasiyam,ஆலசியம்,5
aalaththi,ஆலத்தி,3
aalam,ஆலம்,3
aalayam,ஆலயம்,4
aalal,ஆலல்,3
aalavattam,ஆலவட்டம்,5
aalavaay,ஆலவாய்,4
aalavaalam,ஆலவாலம்,5
aalaa,ஆலா,2
aalaangatti,ஆலாங்கட்டி,4
aalaasiyam,ஆலாசியம்,5
aalaaththi,ஆலாத்தி,3
aalaappaRaththal,ஆலாப்பறத்தல்,6
aalaapanam,ஆலாபனம்,5
aalaapanai,ஆலாபனை,4
aalaapi,ஆலாபி,3
aalaalm,ஆலால்ம்,3
aali,ஆலி,2
aalinganam,ஆலிங்கனம்,5
aalai,ஆலை,2
aaloasanai,ஆலோசனை,4
aaloasi,ஆலோசி,3
aaloalam,ஆலோலம்,4
aava,ஆவ,2
aavaNakkaLam,ஆவணக்களம்,6
aavaNakkaLari,ஆவணக்களரி,6
aavaNam,ஆவணம்,4
aavaNavoalai,ஆவணவோலை,5
aavaNi,ஆவணி,3
aavańaazhi,ஆவநாழி,4
aavańaazhigai,ஆவநாழிகை,5
aavam,ஆவம்,3
aavayin,ஆவயின்,4
aavarththam,ஆவர்த்தம்,4
aavarththi,ஆவர்த்தி,3
aavaraNam,ஆவரணம்,5
aavari,ஆவரி,3
aaval,ஆவல்,3
aavalangottu,ஆவலங்கொட்டு,5
aavalar,ஆவலர்,4
aavalaadhi,ஆவலாதி,4
aavali,ஆவலி,3
aavaLi,ஆவளி,3
aavaa,ஆவா,2
aavaarai,ஆவாரை,3
aavi,ஆவி,2
aaviyar,ஆவியர்,4
aavirpaviththal,ஆவிர்பவித்தல்,6
aavirai,ஆவிரை,3
aavudaiyaar,ஆவுடையார்,5
aavudaiyaaL,ஆவுடையாள்,5
aavurinji,ஆவுரிஞ்சி,4
aavaesam,ஆவேசம்,4
aavaeRu,ஆவேறு,3
aazh,ஆழ்,2
aazhkuzhaaykkiNaRu,ஆழ்குழாய்க்கிணறு,6
aazhththu,ஆழ்த்து,2
aazhthuLaikkiNaRu,ஆழ்துளைக்கிணறு,6
aazhńdha,ஆழ்ந்த,2
aazhńdhu,ஆழ்ந்து,2
aazhvaar,ஆழ்வார்,3
aazhvu,ஆழ்வு,2
aazham,ஆழம்,3
aazhampaar,ஆழம்பார்,4
aazhal,ஆழல்,3
aazhaakku,ஆழாக்கு,3
aazhi,ஆழி,2
aazhiththee,ஆழித்தீ,3
aazhimaalvarai,ஆழிமால்வரை,5
aazhiyaan,ஆழியான்,4
aazhiyizhaiththal,ஆழியிழைத்தல்,6
aazhiviral,ஆழிவிரல்,5
aazhumbaazhumaay,ஆழும்பாழுமாய்,6
aaL,ஆள்,2
aaLkaattiviral,ஆள்காட்டிவிரல்,6
aaLpadai,ஆள்படை,3
aaLmaaRaattam,ஆள்மாறாட்டம்,5
aaLvari,ஆள்வரி,3
aaLvaari,ஆள்வாரி,3
aaLvidu,ஆள்விடு,3
aaLvinai,ஆள்வினை,3
aaLaththi,ஆளத்தி,3
aaLari,ஆளரி,3
aaLan,ஆளன்,3
aaLaakku,ஆளாக்கு,3
aaLi,ஆளி,2
aaLugai,ஆளுகை,3
aaLuńar,ஆளுநர்,4
aaLoadi,ஆளோடி,3
aatRa,ஆற்ற,2
aatRamaattaamai,ஆற்றமாட்டாமை,5
aatRal,ஆற்றல்,3
aatRaamai,ஆற்றாமை,3
aatRaar,ஆற்றார்,3
aatRidaikkuRai,ஆற்றிடைக்குறை,5
aatRu,ஆற்று,2
aatRuNaa,ஆற்றுணா,3
aatRuppadai,ஆற்றுப்படை,4
aatRuvari,ஆற்றுவரி,4
aatRuvaar,ஆற்றுவார்,4
aatRuviththal,ஆற்றுவித்தல்,5
aatRedhirppadal,ஆற்றெதிர்ப்படல்,6
aaRangam,ஆறங்கம்,4
aaRappoadu,ஆறப்போடு,4
aaRalai,ஆறலை,3
aaRavamara,ஆறவமர,5
aaRaa,ஆறா,2
aaRaaththuyar,ஆறாத்துயர்,5
aaRaappuN,ஆறாப்புண்,4
aaRaayirappadi,ஆறாயிரப்படி,6
aaRaayiram,ஆறாயிரம்,5
aaRu,ஆறு,2
aan,ஆன்,2
aankandRu,ஆன்கன்ன்று,3
aankottil,ஆன்கொட்டில்,4
aanporuńdham,ஆன்பொருந்தம்,5
aanporuńai,ஆன்பொருநை,4
aanmadharisanam,ஆன்மதரிசனம்,7
aanmaa,ஆன்மா,2
aandRa,ஆன்ன்ற,2
aandRamaińdha,ஆன்ன்றமைந்த,4
aadRavar,ஆன்றவர்,4
aadRaar,ஆன்றார்,3
aadRoar,ஆன்றோர்,3
aana,ஆன,2
aanagam,ஆனகம்,4
aananju,ஆனஞ்சு,3
aanańdhabairavi,ஆனந்தபைரவி,6
aanańdham,ஆனந்தம்,4
aanańdhavuvamai,ஆனந்தவுவமை,6
aanańdhiththal,ஆனந்தித்தல்,5
aanamattum,ஆனமட்டும்,5
aanavai,ஆனவை,3
